image_path,split,label,weight_grams
"data\train\PET_Bottle\PET1,112.jpg",train,0,15.95
"data\train\PET_Bottle\PET1,113.jpg",train,0,19.19
"data\train\PET_Bottle\PET1,114.jpg",train,0,22.97
"data\train\PET_Bottle\PET1,115.jpg",train,0,16.29
"data\train\PET_Bottle\PET1,116.jpg",train,0,23.41
"data\train\PET_Bottle\PET1,117.jpg",train,0,20.68
"data\train\PET_Bottle\PET1,118.jpg",train,0,19.38
"data\train\PET_Bottle\PET1,120.jpg",train,0,16.78
"data\train\PET_Bottle\PET1,122.jpg",train,0,17.51
"data\train\PET_Bottle\PET1,123.jpg",train,0,18.52
"data\train\PET_Bottle\PET1,126.jpg",train,0,20.57
"data\train\PET_Bottle\PET1,127.jpg",train,0,18.09
"data\train\PET_Bottle\PET1,129.jpg",train,0,21.22
"data\train\PET_Bottle\PET1,130.jpg",train,0,24.66
"data\train\PET_Bottle\PET1,131.jpg",train,0,23.76
"data\train\PET_Bottle\PET1,132.jpg",train,0,22.32
"data\train\PET_Bottle\PET1,134.jpg",train,0,18.09
"data\train\PET_Bottle\PET1,135.jpg",train,0,19.28
"data\train\PET_Bottle\PET1,136.jpg",train,0,15.11
"data\train\PET_Bottle\PET1,137.jpg",train,0,17.34
"data\train\PET_Bottle\PET1,138.jpg",train,0,15.85
"data\train\PET_Bottle\PET1,139.jpg",train,0,20.58
"data\train\PET_Bottle\PET1,140.jpg",train,0,18.17
"data\train\PET_Bottle\PET1,142.jpg",train,0,18.9
"data\train\PET_Bottle\PET1,143.jpg",train,0,19.1
"data\train\PET_Bottle\PET1,145.jpg",train,0,17.16
"data\train\PET_Bottle\PET1,148.jpg",train,0,21.94
"data\train\PET_Bottle\PET1,149.jpg",train,0,15.3
"data\train\PET_Bottle\PET1,150.jpg",train,0,19.81
"data\train\PET_Bottle\PET1,152.jpg",train,0,21.21
"data\train\PET_Bottle\PET1,153.jpg",train,0,19.99
"data\train\PET_Bottle\PET1,154.jpg",train,0,24.54
"data\train\PET_Bottle\PET1,156.jpg",train,0,19.45
"data\train\PET_Bottle\PET1,157.jpg",train,0,18.14
"data\train\PET_Bottle\PET1,158.jpg",train,0,16.71
"data\train\PET_Bottle\PET1,159.jpg",train,0,15.41
"data\train\PET_Bottle\PET1,160.jpg",train,0,21.65
"data\train\PET_Bottle\PET1,161.jpg",train,0,22.23
"data\train\PET_Bottle\PET1,162.jpg",train,0,17.02
"data\train\PET_Bottle\PET1,165.jpg",train,0,19.35
"data\train\PET_Bottle\PET1,168.jpg",train,0,21.67
"data\train\PET_Bottle\PET1,169.jpg",train,0,15.82
"data\train\PET_Bottle\PET1,170.jpg",train,0,17.8
"data\train\PET_Bottle\PET1,171.jpg",train,0,24.61
"data\train\PET_Bottle\PET1,172.jpg",train,0,17.8
"data\train\PET_Bottle\PET1,173.jpg",train,0,19.54
"data\train\PET_Bottle\PET1,174.jpg",train,0,17.23
"data\train\PET_Bottle\PET1,175.jpg",train,0,20.96
"data\train\PET_Bottle\PET1,176.jpg",train,0,22.27
"data\train\PET_Bottle\PET1,177.jpg",train,0,19.95
"data\train\PET_Bottle\PET1,178.jpg",train,0,16.78
"data\train\PET_Bottle\PET1,179.jpg",train,0,16.77
"data\train\PET_Bottle\PET1,180.jpg",train,0,20.81
"data\train\PET_Bottle\PET1,181.jpg",train,0,16.27
"data\train\PET_Bottle\PET1,183.jpg",train,0,24.0
"data\train\PET_Bottle\PET1,184.jpg",train,0,22.8
"data\train\PET_Bottle\PET1,185.jpg",train,0,23.99
"data\train\PET_Bottle\PET1,186.jpg",train,0,20.72
"data\train\PET_Bottle\PET1,187.jpg",train,0,22.56
"data\train\PET_Bottle\PET1,188.jpg",train,0,17.53
"data\train\PET_Bottle\PET1,189.jpg",train,0,18.83
"data\train\PET_Bottle\PET1,191.jpg",train,0,23.27
"data\train\PET_Bottle\PET1,193.jpg",train,0,23.21
"data\train\PET_Bottle\PET1,194.jpg",train,0,21.76
"data\train\PET_Bottle\PET1,195.jpg",train,0,23.44
"data\train\PET_Bottle\PET1,196.jpg",train,0,23.67
"data\train\PET_Bottle\PET1,197.jpg",train,0,21.29
"data\train\PET_Bottle\PET1,198.jpg",train,0,21.9
"data\train\PET_Bottle\PET1,199.jpg",train,0,15.0
"data\train\PET_Bottle\PET1,201.jpg",train,0,16.85
"data\train\PET_Bottle\PET1,202.jpg",train,0,19.32
"data\train\PET_Bottle\PET1,203.jpg",train,0,23.97
"data\train\PET_Bottle\PET1,205.jpg",train,0,15.53
"data\train\PET_Bottle\PET1,206.jpg",train,0,18.44
"data\train\PET_Bottle\PET1,207.jpg",train,0,17.69
"data\train\PET_Bottle\PET1,208.jpg",train,0,22.39
"data\train\PET_Bottle\PET1,209.jpg",train,0,23.22
"data\train\PET_Bottle\PET1,210.jpg",train,0,22.02
"data\train\PET_Bottle\PET1,212.jpg",train,0,15.81
"data\train\PET_Bottle\PET1,213.jpg",train,0,15.72
"data\train\PET_Bottle\PET1,214.jpg",train,0,16.8
"data\train\PET_Bottle\PET1,216.jpg",train,0,18.73
"data\train\PET_Bottle\PET1,217.jpg",train,0,17.98
"data\train\PET_Bottle\PET1,218.jpg",train,0,21.39
"data\train\PET_Bottle\PET1,220.jpg",train,0,15.29
"data\train\PET_Bottle\PET1,221.jpg",train,0,24.58
"data\train\PET_Bottle\PET1,222.jpg",train,0,17.26
"data\train\PET_Bottle\PET1,223.jpg",train,0,18.86
"data\train\PET_Bottle\PET1,224.jpg",train,0,22.79
"data\train\PET_Bottle\PET1,226.jpg",train,0,23.54
"data\train\PET_Bottle\PET1,227.jpg",train,0,17.24
"data\train\PET_Bottle\PET1,229.jpg",train,0,18.1
"data\train\PET_Bottle\PET1,231.jpg",train,0,18.29
"data\train\PET_Bottle\PET1,232.jpg",train,0,19.65
"data\train\PET_Bottle\PET1,233.jpg",train,0,18.27
"data\train\PET_Bottle\PET1,234.jpg",train,0,17.44
"data\train\PET_Bottle\PET1,236.jpg",train,0,21.8
"data\train\PET_Bottle\PET1,237.jpg",train,0,20.84
"data\train\PET_Bottle\PET1,238.jpg",train,0,20.74
"data\train\PET_Bottle\PET1,239.jpg",train,0,24.89
"data\train\PET_Bottle\PET1,240.jpg",train,0,21.88
"data\train\PET_Bottle\PET1,242.jpg",train,0,23.38
"data\train\PET_Bottle\PET1,244.jpg",train,0,17.26
"data\train\PET_Bottle\PET1,245.jpg",train,0,21.44
"data\train\PET_Bottle\PET1,246.jpg",train,0,24.44
"data\train\PET_Bottle\PET1,247.jpg",train,0,15.59
"data\train\PET_Bottle\PET1,249.jpg",train,0,23.94
"data\train\PET_Bottle\PET1,250.jpg",train,0,15.7
"data\train\PET_Bottle\PET1,251.jpg",train,0,15.31
"data\train\PET_Bottle\PET1,253.jpg",train,0,22.08
"data\train\PET_Bottle\PET1,254.jpg",train,0,16.2
"data\train\PET_Bottle\PET1,255.jpg",train,0,17.47
"data\train\PET_Bottle\PET1,256.jpg",train,0,21.35
"data\train\PET_Bottle\PET1,257.jpg",train,0,23.33
"data\train\PET_Bottle\PET1,258.jpg",train,0,16.59
"data\train\PET_Bottle\PET1,259.jpg",train,0,15.3
"data\train\PET_Bottle\PET1,260.jpg",train,0,17.93
"data\train\PET_Bottle\PET1,261.jpg",train,0,18.38
"data\train\PET_Bottle\PET1,262.jpg",train,0,19.38
"data\train\PET_Bottle\PET1,263.jpg",train,0,15.52
"data\train\PET_Bottle\PET1,264.jpg",train,0,19.48
"data\train\PET_Bottle\PET1,265.jpg",train,0,20.67
"data\train\PET_Bottle\PET1,266.jpg",train,0,21.14
"data\train\PET_Bottle\PET1,267.jpg",train,0,20.49
"data\train\PET_Bottle\PET1,268.jpg",train,0,16.98
"data\train\PET_Bottle\PET1,269.jpg",train,0,23.98
"data\train\PET_Bottle\PET1,270.jpg",train,0,22.76
"data\train\PET_Bottle\PET1,271.jpg",train,0,18.92
"data\train\PET_Bottle\PET1,272.jpg",train,0,21.72
"data\train\PET_Bottle\PET1,273.jpg",train,0,20.93
"data\train\PET_Bottle\PET1,274.jpg",train,0,19.75
"data\train\PET_Bottle\PET1,276.jpg",train,0,20.55
"data\train\PET_Bottle\PET1,277.jpg",train,0,21.27
"data\train\PET_Bottle\PET1,278.jpg",train,0,19.05
"data\train\PET_Bottle\PET1,279.jpg",train,0,17.58
"data\train\PET_Bottle\PET1,281.jpg",train,0,17.92
"data\train\PET_Bottle\PET1,283.jpg",train,0,19.35
"data\train\PET_Bottle\PET1,285.jpg",train,0,21.24
"data\train\PET_Bottle\PET1,286.jpg",train,0,16.0
"data\train\PET_Bottle\PET1,288.jpg",train,0,15.49
"data\train\PET_Bottle\PET1,290.jpg",train,0,22.62
"data\train\PET_Bottle\PET1,291.jpg",train,0,19.29
"data\train\PET_Bottle\PET1,294.jpg",train,0,16.52
"data\train\PET_Bottle\PET1,295.jpg",train,0,24.68
"data\train\PET_Bottle\PET1,296.jpg",train,0,21.66
"data\train\PET_Bottle\PET1,297.jpg",train,0,21.71
"data\train\PET_Bottle\PET1,298.jpg",train,0,18.39
"data\train\PET_Bottle\PET1,299.jpg",train,0,19.97
"data\train\PET_Bottle\PET1,300.jpg",train,0,19.99
"data\train\PET_Bottle\PET1,301.jpg",train,0,22.1
"data\train\PET_Bottle\PET1,302.jpg",train,0,21.8
"data\train\PET_Bottle\PET1,303.jpg",train,0,20.5
"data\train\PET_Bottle\PET1,304.jpg",train,0,18.55
"data\train\PET_Bottle\PET1,305.jpg",train,0,18.78
"data\train\PET_Bottle\PET1,306.jpg",train,0,20.34
"data\train\PET_Bottle\PET1,307.jpg",train,0,23.27
"data\train\PET_Bottle\PET1,310.jpg",train,0,22.33
"data\train\PET_Bottle\PET1,311.jpg",train,0,17.66
"data\train\PET_Bottle\PET1,312.jpg",train,0,15.88
"data\train\PET_Bottle\PET1,313.jpg",train,0,23.22
"data\train\PET_Bottle\PET1,314.jpg",train,0,21.98
"data\train\PET_Bottle\PET1,315.jpg",train,0,21.8
"data\train\PET_Bottle\PET1,316.jpg",train,0,16.52
"data\train\PET_Bottle\PET1,317.jpg",train,0,24.17
"data\train\PET_Bottle\PET1,319.jpg",train,0,17.29
"data\train\PET_Bottle\PET1,320.jpg",train,0,21.82
"data\train\PET_Bottle\PET1,321.jpg",train,0,18.35
"data\train\PET_Bottle\PET1,322.jpg",train,0,20.1
"data\train\PET_Bottle\PET1,324.jpg",train,0,23.63
"data\train\PET_Bottle\PET1,325.jpg",train,0,15.41
"data\train\PET_Bottle\PET1,326.jpg",train,0,16.75
"data\train\PET_Bottle\PET1,328.jpg",train,0,15.93
"data\train\PET_Bottle\PET1,329.jpg",train,0,19.07
"data\train\PET_Bottle\PET1,330.jpg",train,0,18.47
"data\train\PET_Bottle\PET1,331.jpg",train,0,21.83
"data\train\PET_Bottle\PET1,332.jpg",train,0,19.97
"data\train\PET_Bottle\PET1,334.jpg",train,0,18.65
"data\train\PET_Bottle\PET1,335.jpg",train,0,17.22
"data\train\PET_Bottle\PET1,337.jpg",train,0,20.31
"data\train\PET_Bottle\PET1,338.jpg",train,0,21.18
"data\train\PET_Bottle\PET1,340.jpg",train,0,20.78
"data\train\PET_Bottle\PET1,341.jpg",train,0,18.15
"data\train\PET_Bottle\PET1,343.jpg",train,0,21.82
"data\train\PET_Bottle\PET1,344.jpg",train,0,16.89
"data\train\PET_Bottle\PET1,345.jpg",train,0,21.15
"data\train\PET_Bottle\PET1,346.jpg",train,0,23.42
"data\train\PET_Bottle\PET1,347.jpg",train,0,23.6
"data\train\PET_Bottle\PET1,348.jpg",train,0,21.82
"data\train\PET_Bottle\PET1,349.jpg",train,0,18.09
"data\train\PET_Bottle\PET1,350.jpg",train,0,20.93
"data\train\PET_Bottle\PET1,351.jpg",train,0,20.11
"data\train\PET_Bottle\PET1,352.jpg",train,0,23.25
"data\train\PET_Bottle\PET1,353.jpg",train,0,15.47
"data\train\PET_Bottle\PET1,354.jpg",train,0,16.15
"data\train\PET_Bottle\PET1,355.jpg",train,0,18.31
"data\train\PET_Bottle\PET1,356.jpg",train,0,19.82
"data\train\PET_Bottle\PET1,357.jpg",train,0,22.06
"data\train\PET_Bottle\PET1,358.jpg",train,0,19.99
"data\train\PET_Bottle\PET1,359.jpg",train,0,20.84
"data\train\PET_Bottle\PET1,360.jpg",train,0,18.38
"data\train\PET_Bottle\PET1,361.jpg",train,0,18.06
"data\train\PET_Bottle\PET1,362.jpg",train,0,18.04
"data\train\PET_Bottle\PET1,363.jpg",train,0,23.7
"data\train\PET_Bottle\PET1,364.jpg",train,0,22.66
"data\train\PET_Bottle\PET1,366.jpg",train,0,20.31
"data\train\PET_Bottle\PET1,367.jpg",train,0,19.33
"data\train\PET_Bottle\PET1,368.jpg",train,0,22.69
"data\train\PET_Bottle\PET1,370.jpg",train,0,21.18
"data\train\PET_Bottle\PET1,371.jpg",train,0,17.11
"data\train\PET_Bottle\PET1,373.jpg",train,0,18.99
"data\train\PET_Bottle\PET1,374.jpg",train,0,19.2
"data\train\PET_Bottle\PET1,376.jpg",train,0,24.97
"data\train\PET_Bottle\PET1,377.jpg",train,0,19.65
"data\train\PET_Bottle\PET1,378.jpg",train,0,23.11
"data\train\PET_Bottle\PET1,379.jpg",train,0,15.73
"data\train\PET_Bottle\PET1,381.jpg",train,0,23.21
"data\train\PET_Bottle\PET1,382.jpg",train,0,16.64
"data\train\PET_Bottle\PET1,383.jpg",train,0,23.84
"data\train\PET_Bottle\PET1,384.jpg",train,0,16.27
"data\train\PET_Bottle\PET1,385.jpg",train,0,17.11
"data\train\PET_Bottle\PET1,386.jpg",train,0,20.59
"data\train\PET_Bottle\PET1,387.jpg",train,0,18.37
"data\train\PET_Bottle\PET1,388.jpg",train,0,19.87
"data\train\PET_Bottle\PET1,389.jpg",train,0,20.1
"data\train\PET_Bottle\PET1,390.jpg",train,0,16.68
"data\train\PET_Bottle\PET1,391.jpg",train,0,18.47
"data\train\PET_Bottle\PET1,393.jpg",train,0,18.14
"data\train\PET_Bottle\PET1,395.jpg",train,0,15.56
"data\train\PET_Bottle\PET1,396.jpg",train,0,21.23
"data\train\PET_Bottle\PET1,399.jpg",train,0,20.06
"data\train\PET_Bottle\PET1,400.jpg",train,0,24.45
"data\train\PET_Bottle\PET1,401.jpg",train,0,19.9
"data\train\PET_Bottle\PET1,402.jpg",train,0,22.61
"data\train\PET_Bottle\PET1,403.jpg",train,0,21.94
"data\train\PET_Bottle\PET1,404.jpg",train,0,21.56
"data\train\PET_Bottle\PET1,405.jpg",train,0,16.43
"data\train\PET_Bottle\PET1,407.jpg",train,0,18.33
"data\train\PET_Bottle\PET1,408.jpg",train,0,18.23
"data\train\PET_Bottle\PET1,409.jpg",train,0,22.99
"data\train\PET_Bottle\PET1,410.jpg",train,0,19.61
"data\train\PET_Bottle\PET1,411.jpg",train,0,18.45
"data\train\PET_Bottle\PET1,412.jpg",train,0,19.43
"data\train\PET_Bottle\PET1,414.jpg",train,0,24.02
"data\train\PET_Bottle\PET1,415.jpg",train,0,21.85
"data\train\PET_Bottle\PET1,416.jpg",train,0,24.79
"data\train\PET_Bottle\PET1,419.jpg",train,0,20.6
"data\train\PET_Bottle\PET1,423.jpg",train,0,24.39
"data\train\PET_Bottle\PET1,424.jpg",train,0,19.31
"data\train\PET_Bottle\PET1,425.jpg",train,0,22.91
"data\train\PET_Bottle\PET1,426.jpg",train,0,16.79
"data\train\PET_Bottle\PET1,427.jpg",train,0,18.92
"data\train\PET_Bottle\PET1,428.jpg",train,0,20.04
"data\train\PET_Bottle\PET1,429.jpg",train,0,20.18
"data\train\PET_Bottle\PET1,430.jpg",train,0,20.35
"data\train\PET_Bottle\PET1,431.jpg",train,0,22.83
"data\train\PET_Bottle\PET1,432.jpg",train,0,24.79
"data\train\PET_Bottle\PET1,433.jpg",train,0,18.47
"data\train\PET_Bottle\PET1,435.jpg",train,0,15.88
"data\train\PET_Bottle\PET1,436.jpg",train,0,16.93
"data\train\PET_Bottle\PET1,437.jpg",train,0,23.74
"data\train\PET_Bottle\PET1,438.jpg",train,0,22.93
"data\train\PET_Bottle\PET1,439.jpg",train,0,17.49
"data\train\PET_Bottle\PET1,440.jpg",train,0,23.61
"data\train\PET_Bottle\PET1,441.jpg",train,0,15.97
"data\train\PET_Bottle\PET1,442.jpg",train,0,15.49
"data\train\PET_Bottle\PET1,443.jpg",train,0,21.95
"data\train\PET_Bottle\PET1,444.jpg",train,0,22.71
"data\train\PET_Bottle\PET1,445.jpg",train,0,21.53
"data\train\PET_Bottle\PET1,447.jpg",train,0,20.56
"data\train\PET_Bottle\PET1,449.jpg",train,0,23.01
"data\train\PET_Bottle\PET1,450.jpg",train,0,23.83
"data\train\PET_Bottle\PET1,452.jpg",train,0,21.39
"data\train\PET_Bottle\PET1,453.jpg",train,0,21.17
"data\train\PET_Bottle\PET1,454.jpg",train,0,22.34
"data\train\PET_Bottle\PET1,455.jpg",train,0,15.8
"data\train\PET_Bottle\PET1,456.jpg",train,0,24.27
"data\train\PET_Bottle\PET1,457.jpg",train,0,22.45
"data\train\PET_Bottle\PET1,458.jpg",train,0,24.95
"data\train\PET_Bottle\PET1,460.jpg",train,0,20.97
"data\train\PET_Bottle\PET1,462.jpg",train,0,23.86
"data\train\PET_Bottle\PET1,463.jpg",train,0,16.89
"data\train\PET_Bottle\PET1,464.jpg",train,0,20.49
"data\train\PET_Bottle\PET1,466.jpg",train,0,16.32
"data\train\PET_Bottle\PET1,467.jpg",train,0,20.39
"data\train\PET_Bottle\PET1,468.jpg",train,0,21.47
"data\train\PET_Bottle\PET1,470.jpg",train,0,21.65
"data\train\PET_Bottle\PET1,472.jpg",train,0,22.89
"data\train\PET_Bottle\PET1,473.jpg",train,0,15.96
"data\train\PET_Bottle\PET1,474.jpg",train,0,18.06
"data\train\PET_Bottle\PET1,475.jpg",train,0,16.46
"data\train\PET_Bottle\PET1,476.jpg",train,0,15.93
"data\train\PET_Bottle\PET1,477.jpg",train,0,24.32
"data\train\PET_Bottle\PET1,478.jpg",train,0,20.45
"data\train\PET_Bottle\PET1,480.jpg",train,0,23.66
"data\train\PET_Bottle\PET1,481.jpg",train,0,21.0
"data\train\PET_Bottle\PET1,483.jpg",train,0,20.47
"data\train\PET_Bottle\PET1,484.jpg",train,0,20.06
"data\train\PET_Bottle\PET1,485.jpg",train,0,18.9
"data\train\PET_Bottle\PET1,486.jpg",train,0,16.63
"data\train\PET_Bottle\PET1,488.jpg",train,0,16.4
"data\train\PET_Bottle\PET1,489.jpg",train,0,15.7
"data\train\PET_Bottle\PET1,490.jpg",train,0,18.54
"data\train\PET_Bottle\PET1,491.jpg",train,0,15.66
"data\train\PET_Bottle\PET1,494.jpg",train,0,18.99
"data\train\PET_Bottle\PET1,495.jpg",train,0,22.01
"data\train\PET_Bottle\PET1,496.jpg",train,0,21.24
"data\train\PET_Bottle\PET1,497.jpg",train,0,19.2
"data\train\PET_Bottle\PET1,498.jpg",train,0,24.92
"data\train\PET_Bottle\PET1,501.jpg",train,0,23.06
"data\train\PET_Bottle\PET1,503.jpg",train,0,18.92
"data\train\PET_Bottle\PET1,504.jpg",train,0,15.42
"data\train\PET_Bottle\PET1,506.jpg",train,0,19.33
"data\train\PET_Bottle\PET1,507.jpg",train,0,19.55
"data\train\PET_Bottle\PET1,508.jpg",train,0,24.29
"data\train\PET_Bottle\PET1,510.jpg",train,0,18.93
"data\train\PET_Bottle\PET1,511.jpg",train,0,23.15
"data\train\PET_Bottle\PET1,513.jpg",train,0,23.87
"data\train\PET_Bottle\PET1,515.jpg",train,0,20.82
"data\train\PET_Bottle\PET1,517.jpg",train,0,16.66
"data\train\PET_Bottle\PET1,519.jpg",train,0,23.3
"data\train\PET_Bottle\PET1,520.jpg",train,0,20.58
"data\train\PET_Bottle\PET1,521.jpg",train,0,16.37
"data\train\PET_Bottle\PET1,522.jpg",train,0,23.15
"data\train\PET_Bottle\PET1,524.jpg",train,0,20.78
"data\train\PET_Bottle\PET1,525.jpg",train,0,23.43
"data\train\PET_Bottle\PET1,527.jpg",train,0,17.69
"data\train\PET_Bottle\PET1,528.jpg",train,0,24.17
"data\train\PET_Bottle\PET1,529.jpg",train,0,24.36
"data\train\PET_Bottle\PET1,530.jpg",train,0,24.92
"data\train\PET_Bottle\PET1,531.jpg",train,0,16.72
"data\train\PET_Bottle\PET1,532.jpg",train,0,17.5
"data\train\PET_Bottle\PET1,533.jpg",train,0,19.51
"data\train\PET_Bottle\PET1,534.jpg",train,0,20.31
"data\train\PET_Bottle\PET1,535.jpg",train,0,19.26
"data\train\PET_Bottle\PET1,537.jpg",train,0,23.87
"data\train\PET_Bottle\PET1,539.jpg",train,0,17.76
"data\train\PET_Bottle\PET1,540.jpg",train,0,23.96
"data\train\PET_Bottle\PET1,541.jpg",train,0,23.49
"data\train\PET_Bottle\PET1,542.jpg",train,0,15.15
"data\train\PET_Bottle\PET1,543.jpg",train,0,16.81
"data\train\PET_Bottle\PET1,545.jpg",train,0,21.48
"data\train\PET_Bottle\PET1,546.jpg",train,0,15.62
"data\train\PET_Bottle\PET1,547.jpg",train,0,23.29
"data\train\PET_Bottle\PET1,548.jpg",train,0,23.65
"data\train\PET_Bottle\PET1,549.jpg",train,0,19.91
"data\train\PET_Bottle\PET1,550.jpg",train,0,18.89
"data\train\PET_Bottle\PET1,551.jpg",train,0,19.64
"data\train\PET_Bottle\PET1,552.jpg",train,0,15.25
"data\train\PET_Bottle\PET1,553.jpg",train,0,22.72
"data\train\PET_Bottle\PET1,554.jpg",train,0,23.02
"data\train\PET_Bottle\PET1,555.jpg",train,0,18.94
"data\train\PET_Bottle\PET1,556.jpg",train,0,17.85
"data\train\PET_Bottle\PET1,557.jpg",train,0,22.06
"data\train\PET_Bottle\PET1,558.jpg",train,0,16.02
"data\train\PET_Bottle\PET1,560.jpg",train,0,24.08
"data\train\PET_Bottle\PET1,561.jpg",train,0,23.0
"data\train\PET_Bottle\PET1,562.jpg",train,0,16.07
"data\train\PET_Bottle\PET1,563.jpg",train,0,23.66
